ServiceID,total_requests,slow_requests,E_pct,n_replicas,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,avg_distance_km,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,cycle,servers_on
12,7,6.0,85.71428571428571,2,188.58939198984726,342.0151603585214,356.417775322535,5,71.42857142857143,13.03317645708241,17.96341841870807,28.307620081718827,28.866123457494428,0,2
13,6,4.0,66.66666666666667,2,186.68332016387888,332.5203981116118,346.5215449115113,3,50.0,11.810522110047652,16.653497212214987,25.181729062049357,26.075093748970755,0,2
14,9,6.0,66.66666666666667,2,370.0194693908196,684.0084870220173,712.8057980426024,6,66.66666666666667,14.438821081690485,19.469390819683618,37.02703156980287,37.74667155362688,0,2
15,2,1.0,50.0,2,225.02125786580928,292.5245786128913,298.5248737904097,1,50.0,16.108147992125744,21.257865809243818,24.57861289125484,24.873790409655818,0,2
1,24,22.0,91.66666666666667,2,9.186858405739383,18.865696532006375,19.79390137194126,21,87.5,15.113046544462167,20.191739072715368,32.237741848499645,37.95932265551488,1,2
2,36,34.0,94.44444444444444,2,25.740724792662345,54.52903599217934,57.3184934877711,33,91.66666666666667,13.536410208419802,18.502570440126572,29.917749043353247,33.93302006402778,1,2
3,16,14.0,87.5,2,24.271548824755854,49.01749701120293,51.41808803222154,13,81.25,16.379723273995545,21.548824755853175,38.290571547834666,41.9127006192872,1,2
4,25,22.0,88.0,2,59.099637112112994,124.6253685657839,131.33783139933635,21,84.0,14.595368794134712,19.637112112995993,33.534324149865725,38.56489319290487,1,2
5,17,16.0,94.11764705882354,2,59.4339185302452,122.02109942992644,128.4187564489356,14,82.3529411764706,16.94441784935597,22.153824362855914,35.79678686002315,36.17784369167211,1,2
6,15,13.0,86.66666666666667,2,106.01844861060616,199.51986295186302,207.92542871229634,12,80.0,13.48604517482996,18.448610606159537,28.498003859292986,31.629993241266735,1,2
7,13,11.0,84.61538461538461,2,98.09681569920357,185.01572083495316,197.01481851745373,10,76.92307692307692,14.833856892095874,19.89262228050423,35.30016028119915,42.19178266630439,1,2
8,8,7.0,87.5,2,90.64403524292472,166.2634011900165,173.26426473247474,6,75.0,14.033596089223483,19.035242924719775,29.185327481914786,29.676668862665853,1,2
9,14,13.0,92.85714285714286,2,197.1656504389264,370.52140772931335,386.1195083994399,12,85.71428571428571,17.541287995233223,22.793296069232643,36.07448933231898,39.36828495860713,1,2
10,13,10.0,76.92307692307692,2,212.32972272046098,416.0269706557995,435.2370587621726,9,69.23076923076923,16.829227926969352,22.030412768667855,34.04062342278886,38.47275569725288,1,2
11,8,7.0,87.5,2,150.02348451879197,282.51398497148324,296.5132511997954,5,62.5,18.186461508369486,23.484518791970654,36.964733782097724,39.05757776911466,1,2
12,8,6.0,75.0,2,180.0234831908493,339.0180870094455,355.8195855793629,6,75.0,18.185222033147447,23.483190849300506,34.059751733963736,35.65901346396974,1,2
13,4,2.0,50.0,2,175.01362781171323,269.5156971186873,277.9153737694632,2,50.0,8.986407568073366,13.62781171322706,17.583322494501598,17.906671718589795,1,2
14,1,1.0,100.0,2,90.02900574930143,90.02900574930143,90.02900574930143,0,0.0,23.339868026196736,29.00574930143833,29.00574930143833,29.00574930143833,1,2
15,0,,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2
1,32,28.0,87.5,3,6.892119873293603,13.466068374845515,14.013447803700508,27,84.375,12.245828249405847,17.119873293602865,30.25002683666346,32.41299058676017,2,3
2,30,26.0,86.66666666666667,3,15.215085324576082,29.113230803058507,31.433125028790688,25,83.33333333333333,10.471271701574372,15.085324576082524,22.033219778562525,23.134960489032423,2,3
3,25,21.0,84.0,3,22.257537850495282,43.217089751564465,47.05516799300072,21,84.0,12.635959839048832,17.537850495283465,31.685544152868722,35.366499562623346,2,3
4,21,16.0,76.19047619047619,3,38.350077492868664,84.00990144976655,89.61689742013262,16,76.19047619047619,11.895144515515883,16.744159535328727,29.774605437559153,34.99427037361806,2,3
5,13,10.0,76.92307692307692,3,33.094962418896706,60.018517812885136,60.02244103142808,8,61.53846153846154,13.391235857671013,18.03934197362871,31.186718447540905,31.947644142487263,2,3
6,11,7.0,63.63636363636363,3,42.289240376195636,75.01962871653522,75.02741052995016,6,54.54545454545455,11.679481387618893,16.51310346835769,26.38890968385716,28.762568579890115,2,3
7,15,11.0,73.33333333333333,3,101.68323648599501,207.5170322050872,221.51693370140154,10,66.66666666666667,11.732418840953242,16.569819328329544,25.233283391956054,34.086005964497424,2,3
8,23,17.0,73.91304347826087,3,115.23425185306374,222.5172302733662,244.51452834155444,17,73.91304347826087,12.003779856989624,16.860548715898197,25.949491056622662,30.100254305177113,2,3
9,11,5.0,45.45454545454545,3,81.83452180182078,165.02111940216838,177.02804356478373,5,45.45454545454545,11.517894789195147,16.339983638968715,29.750859149717265,29.769856179990775,2,3
10,7,2.0,28.571428571428573,3,68.5866696385573,108.01182832397487,117.60713171552828,2,28.571428571428573,10.492188020264921,15.241067128735255,23.48681703677347,25.11877562930526,2,3
11,4,3.0,75.0,3,87.52208366748435,142.52307505607337,148.52415273105152,1,25.0,16.878934817208798,22.083667484353768,24.84980491732538,24.910179757973772,2,3
12,9,4.0,44.44444444444444,3,126.68291342762258,216.01959011903136,235.2193787741705,3,33.333333333333336,11.430882594780877,16.246760955907735,20.906824102484165,21.39772194621018,2,3
13,2,1.0,50.0,3,105.01588669898348,136.51058028644698,139.31010860533263,0,0.0,11.094807925848635,15.886698983472794,21.193111519971616,21.664792634327068,2,3
14,1,0.0,0.0,3,90.01565640561006,90.01565640561006,90.01565640561006,0,0.0,10.87985668092104,15.656405610063032,15.656405610063032,15.656405610063032,2,3
15,2,1.0,50.0,3,150.01915565782792,150.03056298144674,150.0315769657684,0,0.0,14.14598895998014,19.155657827934114,30.562981446760286,31.576965768433727,2,3
1,35,30.0,85.71428571428571,3,7.616326879150563,17.313293194591544,18.67940336834313,30,85.71428571428571,11.50566332089439,16.326879150563986,27.87539478874487,31.040641530613733,3,4
2,24,21.0,87.5,3,14.350339774452452,29.720513084587814,31.558065875162438,20,83.33333333333333,12.139952918479452,17.0064411191201,30.14356383029215,34.098006816991216,3,4
3,17,12.0,70.58823529411765,3,14.368005677494796,28.807067347212044,31.366179520175734,11,64.70588235294117,10.547003577245516,15.064501024208793,23.87262904098182,27.276253876390143,3,4
4,17,12.0,70.58823529411765,3,25.132873614894205,50.419416714709264,54.893255675248156,11,64.70588235294117,10.478643687881831,15.226556070675857,22.15814329137412,24.76967529298888,3,4
5,19,14.0,73.6842105263158,3,41.59451330518989,81.01292010196978,88.21259438906972,14,73.6842105263158,11.1884170022141,15.565936768845077,24.646207371060946,24.963820271045726,3,4
6,10,6.0,60.0,3,40.52018259334739,83.27169308595484,88.67116977967734,5,50.0,15.10451010672042,20.182593347390018,29.13048101851637,30.158679451121053,3,4
7,9,6.0,66.66666666666667,3,69.46069933392874,115.01807204816033,123.02176330916849,5,55.55555555555556,11.438469601168364,16.25488948428934,26.110439017869844,27.51617011639986,3,4
